headline,summary,video_link
Python Tutorial: Context Managers – Efficiently Managing Resources,"In this Python Programming Tutorial, we will be learning how to use context managers to properly manage resources. Context Managers are great for when we need to setup or teardown some resources during use. So these can be used for: open and closing files, opening and closing database connections, acquiring and releasing locks, and much much more. Let’s get started…",https://youtube.com/watch?v=-aKFBoZpiqA
Channel Update: Look Back on the Year and Big Plans for 2018,"In this Channel Update, we will be looking back on 2017 and what we’ve done this year. We will also be looking forward to 2018 and discussing the future plans for this channel. This year was the best year for this channel yet and I can’t thank you all enough. I have plenty planned for the future and I look forward to putting out great tutorials next year!",https://youtube.com/watch?v=CtgkEaeOkew
Python Tutorial: Working with JSON Data using the json Module,"In this Python Programming Tutorial, we will be learning how to work with JSON data. We will learn how to load JSON into Python objects from strings and how to convert Python objects into JSON strings. We will also see how to load JSON from a file and save those Python objects back to files. Let’s get started…",https://youtube.com/watch?v=9N6a-VLBa2I
Python Tutorial: Web Scraping with BeautifulSoup and Requests,"In this Python Programming Tutorial, we will be learning how to scrape websites using the BeautifulSoup library. BeautifulSoup is an excellent tool for parsing HTML code and grabbing exactly the information you need. So whether you’re pulling down headlines from news sites, scores from sports websites, or prices from an online store… BeautifulSoup and Python will help you get this done quickly and easily. Let’s get started…",https://youtube.com/watch?v=ng2o98k983k
Python Tutorial: re Module – How to Write and Match Regular Expressions (Regex),"In this Python Programming Tutorial, we will be learning how to read, write, and match regular expressions with the re module. Regular expressions are extremely useful for matching common patterns of text such as email addresses, phone numbers, URLs, etc. Learning how to do this within Python will allow us to quickly parse files and text for the information we need. Let’s get started…",https://youtube.com/watch?v=K8L6KVGG-7o
Linux/Mac Terminal Tutorial: How To Use The rsync Command – Sync Files Locally and Remotely,"In this Linux/Mac terminal tutorial, we will be learning how to use the rsync command. The rsync command will allow you to sync file and directories on your local machine or even over a network between servers. This is a great tool for running backups, for only copying diffs, or even for deploying segments of code. Let’s get started…",https://youtube.com/watch?v=qE77MbDnljA
Regular Expressions (Regex) Tutorial: How to Match Any Pattern of Text,"In this regular expressions (regex) tutorial, we’re going to be learning how to match patterns of text. Regular expressions are extremely useful for matching common patterns of text such as email addresses, phone numbers, URLs, etc. Almost every programming language has a regular expression library, so learning regular expressions with not only help you with finding patterns in your text editors, but also you’ll be able to use these programming libraries to search for patterns programmatically as well. Let’s get started…",https://youtube.com/watch?v=sa-TUpSx1JA
5 Essential Skills Every Well-Rounded Programmer Should Know,"In this video, we will be looking at 5 skills that you can learn on top of your main programming language to make you a well-rounded programmer. These skills will make you more marketable when looking for a job, and can sometimes be the deciding factor when choosing between candidates.",https://youtube.com/watch?v=TtIJEQ6D9DE
"Python Tutorial: How I Manage Multiple Projects, Virtual Environments, and Environment Variables","In this Python Programming Tutorial, I will be showing how I personally manage multiple projects, virtual environments, and environment variables. If you have ever worked on multiple projects, you probably know that it can be a hassle to keep all of your dependencies and project information separate. The strategy I have adopted over the years allows me to easily separate out my environments in such a way that they can be easily exported, activated, and also automatically activate the correct environment variables. Let’s get started…",https://youtube.com/watch?v=cY2NXB_Tqq0
Python Tutorial: Generate Random Numbers and Data Using the random Module,"In this Python Programming Tutorial, we will be learning how to generate random numbers and choose random data from lists using the random module. I personally use the random module pretty often in my tutorials to generate random data. This can also be used be games, simulations, and plenty of other useful tasks. Let’s get started…",https://youtube.com/watch?v=KzqSDvzOFNA
